run_id,repeat_index,angle_deg,angle_rad,speed_m_s,turn_radius_m,arc_length_m,pre_length_m,post_length_m,total_distance_m,measured_time_s,measured_energy_wh,turn_time_s,turn_energy_wh,mean_power_w,battery_voltage_mean_v,battery_current_mean_a,valid_energy_intervals,sample_count,valid
e6014c96_01_0,1,0.0,0.0,2.5,5.0,0.0,30.0,30.0,60.0,25.22912031099986,2.1821271968936906,-0.011218125666648149,-0.0009805411930732255,311.75413145932987,16.3485698926119,19.069209170435727,252,253,True
e6014c96_01_15,1,15.0,0.2617993877991494,2.5,5.0,1.308996938995747,30.0,30.0,61.30899693899575,28.269588400999965,2.4367827952645937,2.4785912017865677,0.20604703473360475,312.21439887287016,16.26812140823256,19.191808037724055,281,282,True
e6014c96_01_30,1,30.0,0.5235987755982988,2.5,5.0,2.617993877991494,30.0,30.0,62.617993877991495,28.27988469400043,2.4465181035424113,1.9382287322401481,0.16815432056719715,312.3493384791694,16.183385929875996,19.300635651227864,282,283,True
e6014c96_01_45,1,45.0,0.7853981633974483,2.5,5.0,3.9269908169872414,30.0,30.0,63.92699081698724,29.27963698699932,2.5339638393735684,2.3873222626921518,0.2079720339541291,312.4421437719694,16.0970451107611,19.409931241448827,292,293,True
e6014c96_01_60,1,60.0,1.0471975511965976,2.5,5.0,5.235987755982988,30.0,30.0,65.23598775598299,30.302029782999853,2.6217213933063266,2.8590562961457984,0.2481015654426626,312.54478627503215,16.007211914943785,19.525280023958818,302,303,True
e6014c96_01_90,1,90.0,1.5707963267948966,2.5,5.0,7.853981633974483,30.0,30.0,67.85398163397448,33.333826198999304,2.891082547899439,4.789535187051477,0.4222066751473248,312.5637722610946,15.91146180444135,19.643981642351893,333,334,True
e6014c96_01_120,1,120.0,2.0943951023931953,2.5,5.0,10.471975511965976,30.0,30.0,70.47197551196598,35.35713103099988,3.065631865198365,5.711522493958281,0.5014999475578006,312.6628673487146,15.808370776095632,19.77836114807991,353,354,True
e6014c96_01_150,1,150.0,2.6179938779914944,2.5,5.0,13.089969389957473,30.0,30.0,73.08996938995747,38.0935689479993,3.300493660761294,7.346642885863929,0.6411056982322796,312.69735107007267,15.698462689016747,19.919028344742582,380,381,True
e6014c96_01_180,1,180.0,3.141592653589793,2.5,5.0,15.707963267948966,30.0,30.0,75.70796326794897,42.13891517600041,3.657601959707991,10.290671588771268,0.9029579522905262,312.76930582668484,15.580567095516983,20.07438341475211,421,422,True
e6014c96_02_0,2,0.0,0.0,2.5,5.0,0.0,30.0,30.0,60.0,25.24768813799983,2.183507948238183,0.00734970133332169,0.00040021015141933347,311.96248760898106,15.477945433303773,20.15529587334795,252,253,True
e6014c96_02_15,2,15.0,0.2617993877991494,2.5,5.0,1.308996938995747,30.0,30.0,61.30899693899575,27.25533789200017,2.359495977824252,1.4643406927867737,0.12876021729326315,312.31164406680085,15.394385358789465,20.28739874004881,272,273,True
e6014c96_02_30,2,30.0,0.5235987755982988,2.5,5.0,2.617993877991494,30.0,30.0,62.617993877991495,27.7803060010001,2.4038938189869383,1.4386500392398176,0.1255300360117242,312.44972215133964,15.307054615706848,20.41215784086598,277,278,True
e6014c96_02_45,2,45.0,0.7853981633974483,2.5,5.0,3.9269908169872414,30.0,30.0,63.92699081698724,29.536847186999694,2.552633885022624,2.644532462692524,0.2266420796031845,312.5736589800781,15.217265132322149,20.540745253482108,294,295,True
e6014c96_02_60,2,60.0,1.0471975511965976,2.5,5.0,5.235987755982988,30.0,30.0,65.23598775598299,31.05376340699968,2.6833342732264334,3.610789920145624,0.3097144453627694,312.6462468630811,15.121832949115385,20.675193091361752,309,310,True
e6014c96_02_90,2,90.0,1.5707963267948966,2.5,5.0,7.853981633974483,30.0,30.0,67.85398163397448,33.302041711999664,2.8822636380800626,4.757750700051837,0.4133877653279483,312.5490638766723,15.019171883752039,20.810059487282693,332,333,True
e6014c96_02_120,2,120.0,2.0943951023931953,2.5,5.0,10.471975511965976,30.0,30.0,70.47197551196598,35.07408509400011,3.0398302287421486,5.428476556958511,0.475698311101584,312.6924743561583,14.910026341082364,20.972022271224237,350,351,True
e6014c96_02_150,2,150.0,2.6179938779914944,2.5,5.0,13.089969389957473,30.0,30.0,73.08996938995747,38.09457373600071,3.300036921721094,7.347647673865339,0.6406489591920796,312.6519467370713,14.79273561292433,21.13559015028746,380,381,True
e6014c96_02_180,2,180.0,3.141592653589793,2.5,5.0,15.707963267948966,30.0,30.0,75.70796326794897,41.40271276899966,3.5869603689537395,9.554469181770521,0.8323163615362748,312.69038358421506,14.665445136563214,21.321666275245555,413,414,True
e6014c96_03_0,3,0.0,0.0,2.5,5.0,0.0,30.0,30.0,60.0,25.24420686099984,2.183688069128418,0.0038684243333300117,0.0005803310416543361,311.9932500176085,14.557320851111129,21.4320548438272,252,253,True
e6014c96_03_15,3,15.0,0.2617993877991494,2.5,5.0,1.308996938995747,30.0,30.0,61.30899693899575,27.27550964599959,2.350171806564808,1.4845124467861943,0.11943604603381885,312.22592008198603,14.467860975686241,21.580698153551886,271,272,True
e6014c96_03_30,3,30.0,0.5235987755982988,2.5,5.0,2.617993877991494,30.0,30.0,62.617993877991495,51.27577442200072,4.382401802343564,24.93411846024044,2.1040380193683497,308.1653444342384,14.344842788071661,21.48756284416303,512,513,True
